account_id,client_id,account_type,open_date,close_date,account_status
1,1,Brokerage,2025-09-24,,Open
2,1,Roth IRA,2025-09-26,,Open
3,2,IRA,2024-10-06,,Open
4,2,Roth IRA,2024-10-03,,Open
5,3,IRA,2025-04-19,,Open
6,4,IRA,2025-06-04,,Open
7,5,IRA,2025-10-27,,Open
8,6,Brokerage,2025-06-14,,Open
9,7,Roth IRA,2024-07-08,,Open
10,7,Managed Account,2024-07-19,,Open
11,8,Managed Account,2025-01-27,,Open
12,9,Roth IRA,2024-04-01,,Open
13,9,Roth IRA,2024-03-20,,Open
14,10,Roth IRA,2024-12-09,,Open
15,11,Roth IRA,2025-08-19,,Open
16,11,Roth IRA,2025-08-15,,Open
17,12,Roth IRA,2025-11-28,,Open
18,13,Roth IRA,2024-08-07,,Open
19,14,IRA,2025-04-07,,Open
20,14,Brokerage,2025-04-09,,Open
21,15,Brokerage,2024-03-13,,Open
22,15,Managed Account,2024-03-13,,Open
23,16,Managed Account,2024-05-06,,Open
24,16,Brokerage,2024-05-23,,Open
25,17,Roth IRA,2025-08-27,,Open
26,18,Roth IRA,2024-09-03,,Open
27,19,Managed Account,2024-03-28,,Open
28,20,Brokerage,2024-11-04,,Open
29,20,Managed Account,2024-11-02,,Open
30,21,Brokerage,2025-03-23,,Open
31,21,IRA,2025-04-07,,Open
32,22,IRA,2024-05-01,,Open
33,23,Roth IRA,2025-12-05,,Open
34,23,IRA,2025-11-29,,Open
35,24,Brokerage,2024-09-02,,Open
36,24,Managed Account,2024-09-07,,Open
37,25,Brokerage,2024-07-01,,Open
38,25,Roth IRA,2024-06-27,,Open
39,26,Brokerage,2024-03-10,,Open
40,26,Managed Account,2024-02-29,,Open
41,27,Roth IRA,2024-07-08,,Open
42,27,IRA,2024-07-22,,Open
43,28,Managed Account,2024-12-19,,Open
44,29,Brokerage,2025-12-10,,Open
45,29,Managed Account,2025-12-04,,Open
46,30,IRA,2025-11-09,,Open
47,31,Roth IRA,2024-02-14,,Open
48,32,Roth IRA,2024-06-02,,Open
49,32,Brokerage,2024-06-03,,Open
50,33,Managed Account,2025-07-03,,Open
51,34,IRA,2025-04-17,,Open
52,35,Roth IRA,2024-08-05,,Open
53,36,Brokerage,2024-04-27,,Open
54,37,Brokerage,2024-12-02,,Open
55,38,Managed Account,2025-08-12,,Open
56,38,Brokerage,2025-08-26,,Open
57,39,Roth IRA,2024-07-29,,Open
58,40,Managed Account,2024-08-12,,Open
59,41,Managed Account,2025-12-08,,Open
60,42,Managed Account,2025-05-13,,Open
61,42,Roth IRA,2025-05-13,,Open
62,43,Brokerage,2025-02-18,,Open
63,44,Roth IRA,2025-02-08,,Open
64,45,Managed Account,2026-01-10,,Open
65,46,Brokerage,2026-02-10,,Open
66,46,Roth IRA,2026-02-12,,Open
67,47,Brokerage,2024-08-15,,Open
68,48,Brokerage,2025-12-23,,Open
69,49,Brokerage,2024-07-27,,Open
70,50,Managed Account,2025-03-27,,Open
71,51,Roth IRA,2025-07-10,,Open
72,51,IRA,2025-06-24,,Open
73,52,Brokerage,2024-05-08,,Open
