client_id,primary_advisor_id,client_since_date,client_segment,age_band,household_income_band,risk_tolerance,client_status
1,24,2025-09-06,Mass Affluent,Under 35,$350K+,Moderate,Active
2,8,2024-09-20,Core,Under 35,$100K-$199K,Moderate,Active
3,9,2025-04-11,Emerging,35-44,Under $100K,Growth,Active
4,8,2025-06-04,Emerging,45-54,$200K-$349K,Growth,Active
5,7,2025-10-21,Emerging,55-64,$350K+,Growth,Active
6,18,2025-06-07,Mass Affluent,55-64,$200K-$349K,Moderate,Active
7,1,2024-07-06,Core,45-54,$200K-$349K,Growth,Active
8,10,2025-01-20,Core,65+,$200K-$349K,Moderate,Active
9,2,2024-03-18,Core,55-64,$350K+,Moderate,Active
10,14,2024-11-22,Core,45-54,Under $100K,Moderate,Active
11,3,2025-08-01,Mass Affluent,55-64,$100K-$199K,Growth,Active
12,19,2025-11-16,Mass Affluent,65+,$100K-$199K,Moderate,Active
13,20,2024-07-27,Mass Affluent,55-64,$200K-$349K,Moderate,Active
14,10,2025-03-25,Emerging,45-54,$200K-$349K,Moderate,Active
15,9,2024-03-12,Mass Affluent,45-54,Under $100K,Conservative,Active
16,23,2024-05-04,Emerging,45-54,$100K-$199K,Moderate,Active
17,10,2025-08-15,Mass Affluent,45-54,$350K+,Growth,Active
18,4,2024-08-29,Mass Affluent,35-44,$100K-$199K,Growth,Active
19,10,2024-03-22,High Value,55-64,$200K-$349K,Conservative,Active
20,8,2024-10-28,Core,55-64,$200K-$349K,Conservative,Active
21,1,2025-03-18,Core,55-64,$100K-$199K,Moderate,Active
22,12,2024-04-29,High Value,55-64,$200K-$349K,Conservative,Active
23,20,2025-11-17,Core,65+,$350K+,Moderate,Active
24,21,2024-08-21,Core,35-44,$200K-$349K,Moderate,Active
25,21,2024-06-16,Mass Affluent,45-54,$200K-$349K,Growth,Active
26,3,2024-02-29,Core,Under 35,Under $100K,Aggressive,Active
27,11,2024-07-02,Emerging,55-64,Under $100K,Conservative,Active
28,22,2024-12-11,Emerging,Under 35,$200K-$349K,Moderate,Active
29,13,2025-11-25,Core,45-54,$100K-$199K,Moderate,Active
30,14,2025-11-03,Mass Affluent,35-44,$200K-$349K,Growth,Active
31,22,2024-02-03,Core,45-54,$100K-$199K,Moderate,Active
32,3,2024-05-30,Emerging,Under 35,$200K-$349K,Moderate,Active
33,16,2025-06-22,Emerging,55-64,$200K-$349K,Conservative,Active
34,4,2025-04-14,High Value,55-64,$100K-$199K,Growth,Active
35,17,2024-08-04,Core,55-64,$100K-$199K,Growth,Active
36,23,2024-04-07,Emerging,55-64,$100K-$199K,Aggressive,Active
