snapshot_month,account_id,client_id,advisor_id,beginning_assets,net_flows,market_change,ending_assets
2025-09-01,1,1,24,343788.56,1494.02,4020.19,349302.76
2025-10-01,1,1,24,349302.76,4050.09,13894.04,367246.90
2025-11-01,1,1,24,367246.90,-3930.22,8187.90,371504.57
2025-12-01,1,1,24,371504.57,-3080.51,-1239.76,367184.30
2025-09-01,2,1,24,314250.15,12579.84,12525.62,339355.60
2025-10-01,2,1,24,339355.60,-8262.60,4986.06,336079.06
2025-11-01,2,1,24,336079.06,4842.75,-9074.64,331847.17
2025-12-01,2,1,24,331847.17,4192.69,1815.46,337855.32
2024-10-01,3,2,8,92247.93,-661.36,2002.04,93588.60
2024-11-01,3,2,8,93588.60,-2328.64,3654.26,94914.23
2024-12-01,3,2,8,94914.23,1204.62,2140.73,98259.58
2025-01-01,3,2,8,98259.58,2646.77,1832.57,102738.92
2025-02-01,3,2,8,102738.92,50.91,-3020.74,99769.09
2025-03-01,3,2,8,99769.09,2144.70,-856.42,101057.37
2025-04-01,3,2,8,101057.37,-305.79,3318.85,104070.43
2025-05-01,3,2,8,104070.43,2641.60,-1142.09,105569.93
2025-06-01,3,2,8,105569.93,-353.67,-245.83,104970.44
2025-07-01,3,2,8,104970.44,332.55,-1191.16,104111.83
2025-08-01,3,2,8,104111.83,-1675.14,-142.04,102294.65
2025-09-01,3,2,8,102294.65,4176.23,1962.57,108433.44
2025-10-01,3,2,8,108433.44,4141.77,1544.22,114119.43
2025-11-01,3,2,8,114119.43,-448.89,1008.24,114678.78
2025-12-01,3,2,8,114678.78,-2863.71,-1381.52,110433.54
2024-10-01,4,2,8,113209.94,854.64,42.20,114106.78
2024-11-01,4,2,8,114106.78,-1145.74,325.76,113286.81
2024-12-01,4,2,8,113286.81,4314.26,3249.29,120850.37
2025-01-01,4,2,8,120850.37,-1585.75,-3409.96,115854.66
2025-02-01,4,2,8,115854.66,1283.86,1811.42,118949.94
2025-03-01,4,2,8,118949.94,-182.80,3624.87,122392.00
2025-04-01,4,2,8,122392.00,3375.53,2303.86,128071.39
2025-05-01,4,2,8,128071.39,-1187.88,-2442.27,124441.24
2025-06-01,4,2,8,124441.24,-2898.26,-1917.96,119625.01
2025-07-01,4,2,8,119625.01,988.05,3945.12,124558.18
2025-08-01,4,2,8,124558.18,-2478.96,-229.77,121849.44
2025-09-01,4,2,8,121849.44,2325.32,-2369.38,121805.38
2025-10-01,4,2,8,121805.38,2892.24,554.24,125251.86
2025-11-01,4,2,8,125251.86,-992.13,2189.98,126449.71
2025-12-01,4,2,8,126449.71,-3112.16,3171.00,126508.55
2025-04-01,5,3,9,47466.28,826.51,1998.27,50291.06
2025-05-01,5,3,9,50291.06,1271.61,1369.09,52931.76
2025-06-01,5,3,9,52931.76,-716.51,-535.50,51679.75
2025-07-01,5,3,9,51679.75,801.45,2031.58,54512.77
2025-08-01,5,3,9,54512.77,834.36,2051.97,57399.11
2025-09-01,5,3,9,57399.11,72.98,2314.20,59786.29
2025-10-01,5,3,9,59786.29,-664.64,739.43,59861.08
2025-11-01,5,3,9,59861.08,1983.80,-932.16,60912.71
2025-12-01,5,3,9,60912.71,1449.94,-662.33,61700.32
2025-06-01,6,4,8,34888.97,115.42,-542.02,34462.37
2025-07-01,6,4,8,34462.37,740.16,-188.80,35013.73
2025-08-01,6,4,8,35013.73,481.20,-262.58,35232.34
2025-09-01,6,4,8,35232.34,1577.15,318.19,37127.68
2025-10-01,6,4,8,37127.68,-13.86,48.25,37162.07
2025-11-01,6,4,8,37162.07,-131.42,-615.29,36415.36
2025-12-01,6,4,8,36415.36,928.22,-355.27,36988.31
2025-10-01,7,5,7,86067.59,1750.14,3242.42,91060.14
2025-11-01,7,5,7,91060.14,2992.62,-2666.90,91385.86
2025-12-01,7,5,7,91385.86,-1223.24,-949.60,89213.02
2025-06-01,8,6,18,345743.92,2524.40,-8851.98,339416.33
2025-07-01,8,6,18,339416.33,11285.60,1652.97,352354.91
2025-08-01,8,6,18,352354.91,8866.04,2011.86,363232.80
2025-09-01,8,6,18,363232.80,-2128.64,11542.78,372646.95
2025-10-01,8,6,18,372646.95,16253.79,-5776.60,383124.14
2025-11-01,8,6,18,383124.14,5206.10,-1652.46,386677.78
2025-12-01,8,6,18,386677.78,15285.67,2188.31,404151.77
2024-07-01,9,7,1,111265.21,4986.89,2752.85,119004.95
2024-08-01,9,7,1,119004.95,640.01,-3227.96,116417.00
2024-09-01,9,7,1,116417.00,2254.11,4052.05,122723.16
2024-10-01,9,7,1,122723.16,743.40,2518.29,125984.84
2024-11-01,9,7,1,125984.84,4817.62,-3945.94,126856.53
2024-12-01,9,7,1,126856.53,3898.31,-1462.73,129292.10
2025-01-01,9,7,1,129292.10,160.18,-3019.54,126432.74
2025-02-01,9,7,1,126432.74,1540.16,1299.00,129271.90
2025-03-01,9,7,1,129271.90,3939.74,-2766.59,130445.05
2025-04-01,9,7,1,130445.05,-2540.05,4522.16,132427.15
2025-05-01,9,7,1,132427.15,2433.97,-2083.56,132777.57
2025-06-01,9,7,1,132777.57,5164.79,-3126.99,134815.37
2025-07-01,9,7,1,134815.37,981.52,-1979.33,133817.56
2025-08-01,9,7,1,133817.56,-953.74,-4583.01,128280.81
2025-09-01,9,7,1,128280.81,4018.31,4758.80,137057.92
2025-10-01,9,7,1,137057.92,3074.59,-3064.88,137067.63
2025-11-01,9,7,1,137067.63,811.59,-1008.10,136871.12
2025-12-01,9,7,1,136871.12,2207.73,2205.69,141284.54
2024-07-01,10,7,1,127785.56,4366.60,-2435.93,129716.22
2024-08-01,10,7,1,129716.22,250.16,474.33,130440.71
2024-09-01,10,7,1,130440.71,-1095.13,1402.74,130748.32
2024-10-01,10,7,1,130748.32,1992.19,5807.23,138547.74
2024-11-01,10,7,1,138547.74,-600.44,5990.19,143937.48
2024-12-01,10,7,1,143937.48,3033.64,-1877.17,145093.95
2025-01-01,10,7,1,145093.95,2120.55,2882.14,150096.65
2025-02-01,10,7,1,150096.65,4071.64,-4664.47,149503.82
2025-03-01,10,7,1,149503.82,2608.61,708.38,152820.80
2025-04-01,10,7,1,152820.80,5851.64,-1849.81,156822.63
2025-05-01,10,7,1,156822.63,4848.99,2127.33,163798.95
2025-06-01,10,7,1,163798.95,-55.29,2609.22,166352.89
2025-07-01,10,7,1,166352.89,3071.27,3197.49,172621.65
2025-08-01,10,7,1,172621.65,4395.81,3061.36,180078.82
2025-09-01,10,7,1,180078.82,6065.70,2747.98,188892.50
2025-10-01,10,7,1,188892.50,7222.92,3155.87,199271.30
2025-11-01,10,7,1,199271.30,-672.48,52.98,198651.79
2025-12-01,10,7,1,198651.79,3093.04,4685.95,206430.79
2025-01-01,11,8,10,295813.38,12633.86,8687.15,317134.39
2025-02-01,11,8,10,317134.39,191.63,8960.49,326286.51
2025-03-01,11,8,10,326286.51,-7839.26,2586.08,321033.33
2025-04-01,11,8,10,321033.33,2194.27,6043.86,329271.46
2025-05-01,11,8,10,329271.46,7265.00,3873.82,340410.27
2025-06-01,11,8,10,340410.27,11086.89,13692.44,365189.61
2025-07-01,11,8,10,365189.61,-6360.06,-5950.49,352879.06
2025-08-01,11,8,10,352879.06,-8203.83,12611.47,357286.70
2025-09-01,11,8,10,357286.70,5108.67,13655.67,376051.04
2025-10-01,11,8,10,376051.04,-3574.10,-11259.96,361216.98
2025-11-01,11,8,10,361216.98,11800.91,13636.31,386654.20
2025-12-01,11,8,10,386654.20,-1487.34,-903.35,384263.51
2024-04-01,12,9,2,105899.27,-1910.97,2102.57,106090.86
2024-05-01,12,9,2,106090.86,1391.13,4586.03,112068.02
2024-06-01,12,9,2,112068.02,12.01,-352.88,111727.15
2024-07-01,12,9,2,111727.15,-1308.70,-2818.57,107599.88
2024-08-01,12,9,2,107599.88,3697.38,148.21,111445.47
2024-09-01,12,9,2,111445.47,2384.24,1820.61,115650.33
2024-10-01,12,9,2,115650.33,1942.95,-3850.16,113743.11
2024-11-01,12,9,2,113743.11,3420.89,-1764.67,115399.34
2024-12-01,12,9,2,115399.34,-1867.78,1173.18,114704.74
2025-01-01,12,9,2,114704.74,-2316.72,3006.71,115394.73
2025-02-01,12,9,2,115394.73,-1211.53,-2045.24,112137.96
2025-03-01,12,9,2,112137.96,4023.36,-977.31,115184.01
2025-04-01,12,9,2,115184.01,-1689.89,4266.70,117760.82
2025-05-01,12,9,2,117760.82,-2920.65,3965.30,118805.48
2025-06-01,12,9,2,118805.48,-1766.86,-2922.69,114115.93
2025-07-01,12,9,2,114115.93,-850.64,-2401.03,110864.26
2025-08-01,12,9,2,110864.26,2358.53,-3651.60,109571.19
2025-09-01,12,9,2,109571.19,-2625.30,3089.77,110035.66
2025-10-01,12,9,2,110035.66,-918.22,-1001.14,108116.30
2025-11-01,12,9,2,108116.30,-1384.19,-3330.86,103401.26
2025-12-01,12,9,2,103401.26,2783.59,732.79,106917.64
2024-03-01,13,9,2,92624.83,1012.08,-2433.78,91203.13
2024-04-01,13,9,2,91203.13,936.54,3705.88,95845.54
2024-05-01,13,9,2,95845.54,-2105.19,2650.91,96391.26
2024-06-01,13,9,2,96391.26,3440.08,647.37,100478.71
2024-07-01,13,9,2,100478.71,709.68,4232.37,105420.76
2024-08-01,13,9,2,105420.76,-2186.66,349.84,103583.95
2024-09-01,13,9,2,103583.95,322.48,2060.06,105966.48
2024-10-01,13,9,2,105966.48,987.48,4003.00,110956.96
2024-11-01,13,9,2,110956.96,-2203.12,-3166.35,105587.48
2024-12-01,13,9,2,105587.48,1856.31,-3140.74,104303.06
2025-01-01,13,9,2,104303.06,-599.63,1631.94,105335.37
2025-02-01,13,9,2,105335.37,1409.91,-946.46,105798.82
2025-03-01,13,9,2,105798.82,4721.16,787.62,111307.61
2025-04-01,13,9,2,111307.61,752.45,1495.32,113555.38
2025-05-01,13,9,2,113555.38,-2050.53,2400.83,113905.68
2025-06-01,13,9,2,113905.68,3952.01,1944.75,119802.44
2025-07-01,13,9,2,119802.44,3453.59,2715.59,125971.62
2025-08-01,13,9,2,125971.62,-1253.21,141.64,124860.05
2025-09-01,13,9,2,124860.05,-1124.42,-984.58,122751.05
2025-10-01,13,9,2,122751.05,827.95,-211.23,123367.76
2025-11-01,13,9,2,123367.76,-2263.06,-105.96,120998.74
2025-12-01,13,9,2,120998.74,2608.44,-611.76,122995.42
2024-12-01,14,10,14,250936.25,-5007.36,8517.06,254445.96
2025-01-01,14,10,14,254445.96,-5607.69,-8524.11,240314.15
2025-02-01,14,10,14,240314.15,9487.93,8163.18,257965.27
2025-03-01,14,10,14,257965.27,3947.68,2804.59,264717.54
2025-04-01,14,10,14,264717.54,6529.24,-419.44,270827.33
2025-05-01,14,10,14,270827.33,-4587.24,-9027.07,257213.02
2025-06-01,14,10,14,257213.02,-582.90,7486.38,264116.50
2025-07-01,14,10,14,264116.50,4825.08,8336.06,277277.65
2025-08-01,14,10,14,277277.65,10920.27,-7749.80,280448.12
2025-09-01,14,10,14,280448.12,9567.18,-4356.67,285658.63
2025-10-01,14,10,14,285658.63,4633.67,1975.90,292268.20
2025-11-01,14,10,14,292268.20,790.20,-2974.72,290083.68
2025-12-01,14,10,14,290083.68,-357.98,-2423.51,287302.19
2025-08-01,15,11,3,354882.50,12597.36,5386.19,372866.05
2025-09-01,15,11,3,372866.05,-5381.57,-11013.38,356471.10
2025-10-01,15,11,3,356471.10,2122.63,-3840.75,354752.98
2025-11-01,15,11,3,354752.98,-2047.93,-10822.18,341882.87
2025-12-01,15,11,3,341882.87,3594.41,-3476.05,342001.24
2025-08-01,16,11,3,293081.49,9735.80,-8458.78,294358.52
2025-09-01,16,11,3,294358.52,10448.99,9838.48,314646.00
2025-10-01,16,11,3,314646.00,5679.54,1751.14,322076.68
2025-11-01,16,11,3,322076.68,2380.09,3009.91,327466.67
2025-12-01,16,11,3,327466.67,9963.91,12008.25,349438.83
2025-11-01,17,12,19,405161.68,9125.39,-12483.34,401803.73
2025-12-01,17,12,19,401803.73,7699.39,-3306.06,406197.05
2024-08-01,18,13,20,462328.67,-5724.37,-8259.31,448344.99
2024-09-01,18,13,20,448344.99,18533.14,1749.30,468627.42
2024-10-01,18,13,20,468627.42,-4284.19,-11244.61,453098.63
2024-11-01,18,13,20,453098.63,-8880.03,14750.30,458968.90
2024-12-01,18,13,20,458968.90,-8224.79,12240.69,462984.80
2025-01-01,18,13,20,462984.80,15490.72,16526.04,495001.57
2025-02-01,18,13,20,495001.57,-11067.08,-3989.14,479945.34
2025-03-01,18,13,20,479945.34,13746.37,-11766.38,481925.33
2025-04-01,18,13,20,481925.33,660.43,-10612.10,471973.65
2025-05-01,18,13,20,471973.65,15666.77,12595.95,500236.37
2025-06-01,18,13,20,500236.37,15824.01,-10883.58,505176.80
2025-07-01,18,13,20,505176.80,2847.75,-1076.69,506947.86
2025-08-01,18,13,20,506947.86,11327.96,-8109.94,510165.88
2025-09-01,18,13,20,510165.88,3108.90,-6226.97,507047.82
2025-10-01,18,13,20,507047.82,13891.87,463.56,521403.25
2025-11-01,18,13,20,521403.25,6455.38,-5340.51,522518.12
2025-12-01,18,13,20,522518.12,16513.49,1317.40,540349.01
2025-04-01,19,14,10,35267.14,1134.52,1261.52,37663.17
2025-05-01,19,14,10,37663.17,1511.54,-68.10,39106.60
2025-06-01,19,14,10,39106.60,107.61,-198.78,39015.43
2025-07-01,19,14,10,39015.43,79.26,-1110.83,37983.87
2025-08-01,19,14,10,37983.87,-352.58,-361.04,37270.25
2025-09-01,19,14,10,37270.25,-673.26,826.52,37423.51
2025-10-01,19,14,10,37423.51,-57.25,-872.57,36493.69
