opportunity_id,advisor_id,lead_id,client_id,created_date,closed_date,opportunity_stage,opportunity_status,estimated_assets,closed_assets
1,21,1,,2024-11-01,,Discovery,Inactive,158373.51,
2,6,2,,2025-07-06,,Discovery,Inactive,3193444.26,
3,11,3,,2025-05-15,,Discovery,Inactive,75283.64,
4,5,4,,2024-05-11,,Discovery,Inactive,954090.56,
5,20,5,,2025-03-09,,Discovery,Inactive,1781759.44,
6,7,6,,2025-12-31,,Discovery,Inactive,174922.93,
7,19,7,,2024-08-13,,Discovery,Inactive,35526.87,
8,9,8,,2025-11-16,,Proposal,Open,190761.83,
9,14,9,,2025-04-23,,Discovery,Inactive,97838.18,
10,4,10,,2024-03-03,,Proposal,Open,26873.83,
11,1,11,,2024-04-05,,Discovery,Inactive,297318.67,
12,16,12,,2024-08-06,,Discovery,Inactive,1626394.31,
13,13,13,,2024-09-28,,Discovery,Inactive,463264.49,
14,24,14,1,2025-07-23,2025-09-06,Closed,Closed Won,722765.25,538219.92
15,12,15,,2024-03-11,,Discovery,Inactive,138287.39,
16,18,16,,2025-12-21,,Discovery,Inactive,111839.59,
17,9,17,,2024-04-28,,Discovery,Inactive,411922.50,
18,20,18,,2024-08-03,,Proposal,Open,131022.74,
19,5,19,,2025-10-14,,Discovery,Inactive,72521.07,
20,14,20,,2025-07-28,,Proposal,Open,36722.23,
21,22,21,,2024-04-15,,Proposal,Open,93240.19,
22,1,22,,2024-07-02,,Discovery,Inactive,346449.29,
23,22,23,,2024-09-11,,Discovery,Inactive,189728.95,
24,8,24,2,2024-08-16,2024-09-20,Closed,Closed Won,237762.66,255375.70
25,4,25,,2025-03-11,,Discovery,Inactive,255856.17,
26,20,26,,2024-11-20,,Discovery,Inactive,524952.68,
27,17,27,,2025-03-12,,Discovery,Inactive,221875.63,
28,16,28,,2025-04-05,,Proposal,Open,97747.80,
29,8,29,,2025-01-27,,Discovery,Inactive,346244.77,
30,11,30,,2025-07-09,,Proposal,Open,328499.92,
31,14,31,,2025-07-05,,Proposal,Open,103522.73,
32,20,32,,2025-06-30,,Proposal,Open,254156.10,
33,9,33,3,2025-03-07,2025-04-11,Closed,Closed Won,55039.74,40032.43
34,20,34,,2024-05-03,,Discovery,Inactive,91742.51,
35,14,35,,2025-11-08,,Proposal,Open,207804.43,
36,20,36,,2025-07-05,,Discovery,Inactive,299858.67,
37,9,37,,2024-11-26,,Discovery,Inactive,256698.08,
38,8,38,4,2025-04-20,2025-06-04,Closed,Closed Won,44319.02,43398.38
39,18,39,,2025-12-07,,Proposal,Open,127195.32,
40,18,40,,2024-10-26,,Discovery,Inactive,89594.98,
41,4,41,,2024-01-13,,Discovery,Inactive,232688.76,
42,2,42,,2024-09-15,,Discovery,Inactive,265846.20,
43,16,43,,2024-03-16,,Discovery,Inactive,47414.06,
44,14,44,,2025-09-12,,Proposal,Open,2692491.56,
45,7,45,5,2025-10-02,2025-10-21,Closed,Closed Won,91902.45,81191.34
46,19,46,,2024-10-22,,Proposal,Open,177264.47,
47,3,47,,2024-08-22,,Discovery,Inactive,654631.41,
48,22,48,,2024-10-02,,Discovery,Inactive,210722.11,
49,3,49,,2025-04-26,,Proposal,Open,203467.98,
50,4,50,,2025-02-17,,Discovery,Inactive,338432.36,
51,18,51,6,2025-04-18,2025-06-07,Closed,Closed Won,347518.17,329032.99
52,3,52,,2024-10-09,,Discovery,Inactive,544710.18,
53,17,53,,2024-09-30,,Discovery,Inactive,57727.97,
54,19,54,,2025-11-06,,Proposal,Open,108977.55,
55,8,55,,2025-02-24,,Discovery,Inactive,247031.55,
56,11,56,,2024-04-12,,Discovery,Inactive,148029.35,
57,1,57,7,2024-05-27,2024-07-06,Closed,Closed Won,329867.39,282631.49
58,10,58,8,2024-11-30,2025-01-20,Closed,Closed Won,269259.60,222475.99
59,2,59,9,2024-02-08,2024-03-18,Closed,Closed Won,233745.00,238450.18
60,22,60,,2025-04-30,,Discovery,Inactive,220601.30,
61,18,61,,2024-12-03,,Discovery,Inactive,195310.60,
62,14,62,,2024-02-22,,Discovery,Inactive,190142.41,
63,17,63,,2024-08-05,,Proposal,Open,209038.34,
64,20,64,,2025-09-20,,Proposal,Open,44488.41,
65,1,65,,2024-04-03,,Discovery,Inactive,49674.66,
66,6,66,,2025-01-13,,Proposal,Open,730885.98,
67,14,67,10,2024-10-06,2024-11-22,Closed,Closed Won,308525.09,307012.68
68,3,68,11,2025-06-06,2025-08-01,Closed,Closed Won,771966.49,605046.19
69,19,69,12,2025-10-29,2025-11-16,Closed,Closed Won,396553.65,386538.22
70,4,70,,2025-07-25,,Discovery,Inactive,97257.63,
71,20,71,13,2024-06-02,2024-07-27,Closed,Closed Won,619466.35,630880.16
72,7,72,,2025-01-11,,Discovery,Inactive,208644.26,
73,10,73,14,2025-01-26,2025-03-25,Closed,Closed Won,103977.90,106724.97
74,8,74,,2024-05-27,,Proposal,Open,56370.81,
75,9,75,15,2024-01-17,2024-03-12,Closed,Closed Won,892092.88,957300.32
