fund_name,fund_id,month,monthly_net_flow
Dividend ETF Fund 28,28,2021-01-01,9028.96
International Index Fund 19,19,2021-01-01,21.36
Target Retirement 2040 Fund 15,15,2021-01-01,4597.31
Core Equity ETF Fund 38,38,2021-02-01,15505.92
Dividend ETF Fund 28,28,2021-02-01,-3730.45
Global Equity Fund 36,36,2021-02-01,-24208.52
International Index Fund 19,19,2021-02-01,2905.02
Large Cap Index Fund 07,7,2021-02-01,-21.45
Prime Cash Reserves Fund 29,29,2021-02-01,-468.81
Prime Cash Reserves Fund 51,51,2021-02-01,711.15
Short Term Bond Fund 32,32,2021-02-01,5883.28
Target Retirement 2030 Fund 16,16,2021-02-01,298680.64
Target Retirement 2050 Fund 05,5,2021-02-01,17931.25
Total Bond Fund 04,4,2021-02-01,1576.18
Core Equity ETF Fund 12,12,2021-03-01,39505.17
Core Equity ETF Fund 38,38,2021-03-01,7636.78
Core Plus Bond Fund 21,21,2021-03-01,2424.09
Dividend ETF Fund 23,23,2021-03-01,-1090.85
Dividend ETF Fund 28,28,2021-03-01,-474.39
Global Equity Fund 36,36,2021-03-01,70344.42
International ETF Fund 24,24,2021-03-01,2330571.29
International ETF Fund 33,33,2021-03-01,-2132.1
International ETF Fund 44,44,2021-03-01,2169.18
International ETF Fund 45,45,2021-03-01,25812.8
International Index Fund 19,19,2021-03-01,-5425.42
International Index Fund 26,26,2021-03-01,-468.49
Large Cap Index Fund 07,7,2021-03-01,63021.52
Large Cap Index Fund 18,18,2021-03-01,5299.94
Municipal Bond Fund 13,13,2021-03-01,4313.91
Prime Cash Reserves Fund 02,2,2021-03-01,10677.85
Prime Cash Reserves Fund 29,29,2021-03-01,6650.08
Short Term Bond Fund 32,32,2021-03-01,6046.94
Short Term Bond Fund 41,41,2021-03-01,52216.95
Small Cap Index Fund 01,1,2021-03-01,272086.45
Small Cap Index Fund 20,20,2021-03-01,102585.95
Small Cap Index Fund 35,35,2021-03-01,-12984.74
Target Retirement 2030 Fund 16,16,2021-03-01,-409462.27
Target Retirement 2030 Fund 34,34,2021-03-01,402100.85
Target Retirement 2040 Fund 52,52,2021-03-01,462105.3
Target Retirement 2050 Fund 05,5,2021-03-01,396732.01
Total Bond Fund 04,4,2021-03-01,2850.05
Value Opportunities Fund 06,6,2021-03-01,-1885.21
Active Growth Fund 10,10,2021-04-01,15415.03
Core Equity ETF Fund 12,12,2021-04-01,38905.29
Core Equity ETF Fund 27,27,2021-04-01,-66770.56
Core Equity ETF Fund 38,38,2021-04-01,9112.95
Core Plus Bond Fund 21,21,2021-04-01,75227.99
Core Plus Bond Fund 40,40,2021-04-01,3525.18
Core Plus Bond Fund 43,43,2021-04-01,32896.29
Dividend ETF Fund 09,9,2021-04-01,8133.07
Dividend ETF Fund 23,23,2021-04-01,37329.27
Dividend ETF Fund 28,28,2021-04-01,21647.97
Federal Money Market Fund 25,25,2021-04-01,47219.58
Global Equity Fund 36,36,2021-04-01,-37616.46
Growth ETF Fund 03,3,2021-04-01,15882.63
Growth ETF Fund 22,22,2021-04-01,5221.04
Growth ETF Fund 37,37,2021-04-01,692.28
Growth ETF Fund 42,42,2021-04-01,-2883.98
Growth ETF Fund 46,46,2021-04-01,6101.14
International ETF Fund 24,24,2021-04-01,1493989.65
International ETF Fund 33,33,2021-04-01,8439.48
International ETF Fund 44,44,2021-04-01,2926.33
International ETF Fund 45,45,2021-04-01,-21478.75
International Index Fund 19,19,2021-04-01,30268.97
International Index Fund 26,26,2021-04-01,1015493.62
Large Cap Index Fund 07,7,2021-04-01,9380.22
Large Cap Index Fund 18,18,2021-04-01,-1782.78
Municipal Bond Fund 13,13,2021-04-01,192115.69
Municipal Bond Fund 31,31,2021-04-01,2116.26
Prime Cash Reserves Fund 02,2,2021-04-01,-48765.15
Prime Cash Reserves Fund 29,29,2021-04-01,-37095.62
Prime Cash Reserves Fund 51,51,2021-04-01,189.07
Short Term Bond Fund 32,32,2021-04-01,1932.46
Short Term Bond Fund 41,41,2021-04-01,-2293.5
Small Cap Index Fund 01,1,2021-04-01,177469.11
Small Cap Index Fund 20,20,2021-04-01,129961.38
Small Cap Index Fund 35,35,2021-04-01,54982.9
Target Retirement 2030 Fund 16,16,2021-04-01,7037.22
Target Retirement 2030 Fund 34,34,2021-04-01,-13895.07
Target Retirement 2040 Fund 15,15,2021-04-01,-57835.97
Target Retirement 2040 Fund 52,52,2021-04-01,630935.64
Target Retirement 2050 Fund 05,5,2021-04-01,123839.66
Total Bond Fund 04,4,2021-04-01,-49954.53
